EDU1CDL,21ST CENTURY DIGITAL LEARNERS 
HND3006,HINDI 6: BOLLYWOOD HINDI 
ARC3HAA,HISTORICAL ARCHAEOLOGY IN AUSTRALIA 
HIS2SCS,"HISTORIES OF SEXUALITY: GENDER, POWER, PLEASURE AND THE BODY "
HIS4HON,HISTORY 4 
HIS4HNP,HISTORY 4 
EDU1HPC,HISTORY AND PHILOSOPHIES OF EARLY CHILDHOOD EDUCATION 
HIS4SS1,HISTORY HONOURS SPECIAL SUBJECT 1 
HIS4SS2,HISTORY HONOURS SPECIAL SUBJECT 2 
HIS4HNJ,HISTORY HONOURS THESIS 
EDU2HCL,HISTORY OF CHILDREN'S LITERATURE 
POL3HMP,HISTORY OF MODERN POLITICAL THOUGHT 
EDU1HPE,HISTORY OF PHILOSOPHY AND EARLY CHILDHOOD EDUCATION 
PSY1HPM,"HISTORY, PHILOSOPHY AND METHODOLOGY OF PSYCHOLOGICAL SCIENCE "
AGR4HA,HONOURS AGRICULTURE A 
AGR4HB,HONOURS AGRICULTURE B 
AGR4AHA,HONOURS ANIMAL SCIENCE A 
AGR4AHB,HONOURS ANIMAL SCIENCE B 
ANT4ELC,HONOURS ANTHROPOLOGY ELECTIVE 
ANT4HON,HONOURS ANTHROPOLOGY THESIS 
ANT4HNP,HONOURS ANTHROPOLOGY THESIS 
AST4ELE,HONOURS ASIAN STUDIES ELECTIVE 
BOT4HNA,HONOURS BOTANY 
BOT4HNX,HONOURS BOTANY 
BOT4HNB,HONOURS BOTANY 
CHE4HNA,HONOURS CHEMISTRY 
CHE4HNB,HONOURS CHEMISTRY 
ENV4HNB,HONOURS ENVIRONMENTAL SCIENCE 
ENV4HNA,HONOURS ENVIRONMENTAL SCIENCE 
GEN4HNB,HONOURS GENETICS 
GEN4HNA,HONOURS GENETICS 
BCH4HNA,HONOURS IN BIOCHEMISTRY 
BCH4HNB,HONOURS IN BIOCHEMISTRY 
EEE4HNA,"HONOURS IN ECOLOGY, ENVIRONMENT AND EVOLUTION A "
EEE4HNB,"HONOURS IN ECOLOGY, ENVIRONMENT AND EVOLUTION B "
EEE4HNX,"HONOURS IN ECOLOGY, ENVIRONMENT AND EVOLUTION X "
HBS4HPA,HONOURS IN HUMAN PHYSIOLOGY AND ANATOMY 
DTN4HNA,HONOURS IN NUTRITION A 
DTN4HNB,HONOURS IN NUTRITION B 
DST4HNP,HONOURS INTERNATIONAL DEVELOPMENT THESIS 
DST4HON,HONOURS INTERNATIONAL DEVELOPMENT THESIS 
MIC4HNA,HONOURS MICROBIOLOGY 
MIC4HNB,HONOURS MICROBIOLOGY 
PSY4HNA,HONOURS PSYCHOLOGY 
PSY4HNB,HONOURS PSYCHOLOGY 
PSY4HOX,HONOURS PSYCHOLOGY 
PSY4HOC,HONOURS PSYCHOLOGY COURSEWORK 
PSY4HOT,HONOURS PSYCHOLOGY THESIS 
VPA4RMB,HONOURS RESEARCH METHODS B VISUAL ARTS B 
VPA4SPA,HONOURS STUDIO PRACTICE A - VISUAL ARTS 
VPA4SPB,HONOURS STUDIO PRACTICE B # VISUAL ARTS 
LST4THA,HONOURS THESIS A 
LST4THB,HONOURS THESIS B 
HUS4THE,HONOURS THESIS HUSS 
ANT4HNJ,HONOURS THESIS: ANTHROPOLOGY COMPONENT 
DST4HNJ,HONOURS THESIS: INTERNATIONAL DEVELOPMENT COMPONENT 
POL5HSM,HOW SOCIAL CHANGE HAPPENS 
DST5HSM,HOW SOCIAL CHANGE HAPPENS 
HBS2HAA,HUMAN ANATOMY A 
HBS2HAB,HUMAN ANATOMY B 
HBS3HAC,HUMAN ANATOMY C 
HBS3HAD,HUMAN ANATOMY D 
ARC5BON,HUMAN AND ANIMAL BONES 
HBS1HBV,HUMAN BIOSCIENCES 1 
HBS2HBV,HUMAN BIOSCIENCES 2 
HBS1HBA,HUMAN BIOSCIENCES A 
HBS1HBB,HUMAN BIOSCIENCES B 
EDU0SC2,HUMAN BODY SYSTEMS 
EDU4HDW,HUMAN DEVELOPMENT AND WELLBEING 
PHE1HEH,HUMAN ECOLOGY AND HEALTH 
CSE2HUM,HUMAN FACTORS IN CYBERSECURITY 
HBS2HFA,HUMAN FUNCTIONAL ANATOMY OF THE LOWER LIMB AND TRUNK 
HBS2HFB,HUMAN FUNCTIONAL ANATOMY OF THE UPPER LIMB WITH NEUROSCIENCES 
SPE1HGD,HUMAN GROWTH AND DEVELOPMENT 
HBS3HPT,HUMAN PATHOPHYSIOLOGY 
PAM3HPT,HUMAN PATHOPHYSIOLOGY 
PAM2HP1,HUMAN PHYSIOLOGY 1 
PAM2HP2,HUMAN PHYSIOLOGY 2 
HBS3HPR,HUMAN PHYSIOLOGY AND RESEARCH 
HBS2PPA,HUMAN PHYSIOLOGY PRACTICUM A 
HBS2PPB,HUMAN PHYSIOLOGY PRACTICUM B 
HBS2PTA,HUMAN PHYSIOLOGY THEORY A 
HBS2PTB,HUMAN PHYSIOLOGY THEORY B 
MGT3HRD,HUMAN RESOURCE DEVELOPMENT 
MGT2HRS,HUMAN RESOURCE INFORMATION SYSTEMS 
MGT3HRI,HUMAN RESOURCE INFORMATION SYSTEMS 
MGT2HRX,HUMAN RESOURCE MANAGEMENT 
BUA5HRV,HUMAN RESOURCE MANAGEMENT 
MGT2HRM,HUMAN RESOURCE MANAGEMENT 
IBU5HRM,HUMAN RESOURCE MANAGEMENT IN A GLOBAL ECONOMY 
CPH4HRM,HUMAN RESOURCE MANAGEMENT IN HEALTH SERVICES 
PHE5HRM,HUMAN RESOURCE MANAGEMENT IN HEALTH SERVICES 
LAW5HRA,HUMAN RIGHTS ADVOCACY 
LAW5HCD,HUMAN RIGHTS AND COMPARATIVE DISABILITY LAW 
LAW3HRL,HUMAN RIGHTS LAW 
LAW5HRL,HUMAN RIGHTS LAW IN CONTEXT 
SWP4LHE,"HUMAN RIGHTS, LAW AND ETHICS IN SOCIAL WORK PRACTICE "
POL5HSD,HUMAN SECURITY AND DEVELOPMENT 
DST5HSD,HUMAN SECURITY AND DEVELOPMENT 
HBS2SPA,HUMAN SYSTEMS PHYSIOLOGY A 
HBS2SPB,HUMAN SYSTEMS PHYSIOLOGY B 
ORT1HVF,HUMAN VISION AND FUNCTION 
CSE5HCI,HUMAN-COMPUTER INTERFACE 
LAW5HIL,HUMANITARIAN INTERNATIONAL LAW 
EDU5HUM,HUMANITIES FOR THE 21ST CENTURY 
HUS4RDA,HUMANITIES READING EXT 4A 
HUS4RDB,HUMANITIES READING EXT 4B 
HUS2RS1,HUMANITIES READING SUBJECT 2A 
HUS2RS2,HUMANITIES READING SUBJECT 2B 
HUS3RS1,HUMANITIES READING SUBJECT 3A 
HUS3RS2,HUMANITIES READING SUBJECT 3B 
HUS4RS1,HUMANITIES READING SUBJECT 4A 
HUS4RS2,HUMANITIES READING SUBJECT 4B 
HUS5RS1,HUMANITIES READING SUBJECT 5A 
HUS5RS2,HUMANITIES READING SUBJECT 5B 
EDU4GH2,HUMANITIES SECONDARY CURRICULUM 2 (CULTURAL STUDIES) 
EDU4BC2,HUMANITIES SECONDARY CURRICULUM 2: ECONOMICS 
EDU4HU1,HUMANITIES/SOSE SECONDARY CURRICULUM 1 
ANT2ANI,HUMANS AND ANIMALS: ANTHROPOLOGICAL PERSPECTIVES 
OCT4HOB,HUMANS AS OCCUPATIONAL BEINGS 
CIV3HE1,HYDRAULIC ENGINEERING 1 
CIV4HE2,HYDRAULIC ENGINEERING 2 
EDU1ICT,ICT FOR EDUCATION 
HUS1TEN,IDEAS THAT SHOOK THE WORLD 
EMS2ITI,IDEAS TO INNOVATION 
VU21031,IDENTIFY AND DESCRIBE CULTURAL HERITAGE MATERIALS 
VU22266,IDENTIFY AND DESCRIBE CULTURAL HERITAGE MATERIALS 
EDU1ISE,"IDENTITY, POLICY AND EQUITABLE PRACTICE: INDIGENOUS STUDIES "
PHE3ISB,ILLNESS AND SPIRITUALITY 
CSE3VIS,IMAGE PROCESSING 
CSE5IR,IMAGE RETRIEVAL 
EST2TTH,IMAGINED COMMUNITIES IN A CONTEMPORARY WORLD 
PHY2IMG,IMAGING AND MATERIALS CHARACTERISATION 
PHY2MAC,IMAGING AND MATERIALS CHARACTERISATION 
LIN1IML,IMAGINING LANGUAGE 
CUAPRE401,IMPLEMENT PREVENTIVE CONSERVATION ACTIVITIES 
HIM4IHS,IMPLEMENTATION OF HEALTH SYSTEMS 
NSM5IPC,IMPLEMENTING PRACTICE CHANGE 
NSG5IPC,IMPLEMENTING PRACTICE CHANGE 
ARC3DDO,"IN YOUR BONES: DIETS, DNA, AND OSTEOARCHAEOLOGY "
SWP5IIC,INCLUSION IN COMMUNITIES 
EDU1IEP,INCLUSIVE EDUCATIONAL PRACTICES 
EDU3ILE,INCLUSIVE LEARNING ENVIRONMENTS 
SPE2ISC,INCLUSIVE SPORT COACHING 
EDU4INS,INCLUSIVE SPORT EDUCATION 
LAW3ITL,INCOME TAXATION LAW 
ORT4INC,INCOMITANT STRABISMUS 
EDU4IRP,INDEPENDENT READING PROJECT 
AUD5IRA,INDEPENDENT RESEARCH IN AUDIOLOGY 
HBS3IRP,INDEPENDENT RESEARCH IN HUMAN PHYSIOLOGY 
EDU5IRP,INDEPENDENT RESEARCH PROJECT 
NSM5ISU,INDEPENDENT STUDY UNIT 
NSG2IIH,INDIGENOUS AND INTERCULTURAL HEALTH 
LAW2IND,INDIGENOUS AUSTRALIANS AND THE LAW 
NSM4IPH,INDIGENOUS PERINATAL HEALTH 
DTN5IPB,INDIVIDUAL CASE MANAGEMENT PRACTICE B 
DTN5IPC,INDIVIDUAL CASE MANAGEMENT PRACTICE C 
DTN5ITB,INDIVIDUAL CASE MANAGEMENT THEORY B 
DTN5ITC,INDIVIDUAL CASE MANAGEMENT THEORY C 
PHE102,INDIVIDUAL DETERMINANTS OF HEALTH 
PHE1IDH,INDIVIDUAL DETERMINANTS OF HEALTH 
NSG1IDV,INDIVIDUAL HEALTH DETERMINANTS 
INM1001,INDONESIAN 1 
INM1002,INDONESIAN 2 
INM2003,INDONESIAN 3 
INM2004,INDONESIAN 4 
INM3005,INDONESIAN 5 
INM3006,INDONESIAN 6 
INM4007,INDONESIAN 7 
INM4008,INDONESIAN 8 
BUS3IST,INDONESIAN BUSINESS STUDY TOUR 
INM4HON,INDONESIAN HONOURS THESIS 
INM4HNJ,INDONESIAN HONOURS THESIS JOINT PART-TIME 
INM4HNP,INDONESIAN HONOURS THESIS PART-TIME 
INM4LNA,INDONESIAN LANGUAGE 4A 
INM4LNB,INDONESIAN LANGUAGE 4B 
POL3IPS,INDONESIAN POLITICS AND SOCIETY 
CSE5IBL,INDUSTRY BASED LEARNING 
CSE3IBA,INDUSTRY BASED LEARNING A 
CSE3ILA,INDUSTRY BASED LEARNING A 
CSE3IBB,INDUSTRY BASED LEARNING B 
CSE3ILB,INDUSTRY BASED LEARNING B 
EDU5IBP,INDUSTRY BASED PROJECT 
CSE5IDP,INDUSTRY DEVELOPMENT PROJECT 
CYB5IDP,INDUSTRY DEVELOPMENT PROJECT 
CSE3IEA,INDUSTRY EXPERIENCE A 
CSE3IEB,INDUSTRY EXPERIENCE B 
SHE3INC,INDUSTRY INNOVATION CHALLENGE 
SHE4INC,INDUSTRY INNOVATION CHALLENGE 
SCI2INP,INDUSTRY PLACEMENT 
STM5IPL,INDUSTRY PLACEMENT 
CSE3PAX,INDUSTRY PROJECT 3A 
CSE3PRA,INDUSTRY PROJECT 3A 
CSE3PBX,INDUSTRY PROJECT 3B 
CSE3PRB,INDUSTRY PROJECT 3B 
CSE5PRA,INDUSTRY PROJECT A 
CSE5PRB,INDUSTRY PROJECT B 
CSE3CAX,INDUSTRY PROJECT FOR CLOUD TECHNOLOGY 3A 
CSE3CBX,INDUSTRY PROJECT FOR CLOUD TECHNOLOGY 3B 
BUS5IST,INDUSTRY STUDY TOUR 
HBS2IAI,INFECTION AND IMMUNITY 
MIC1IEP,INFECTIONS AND EPIDEMICS 
MIC2IEP,INFECTIONS AND EPIDEMICS 
CSE1SIX,INFORMATION SYSTEM INFRASTRUCTURE 
CSE1ISX,INFORMATION SYSTEMS 
CSE1IS,INFORMATION SYSTEMS 
CSP4IS,INFORMATION SYSTEMS 
CSE2ISD,INFORMATION SYSTEMS DEVELOPMENT 
CSE2SDX,INFORMATION SYSTEMS DEVELOPMENT 
CSP4ITF,INFORMATION TECHNOLOGY FUNDAMENTALS 
CSE1ITF,INFORMATION TECHNOLOGY FUNDAMENTALS 
CSE4IFU,INFORMATION TECHNOLOGY FUNDAMENTALS 
CSE1ITX,INFORMATION TECHNOLOGY FUNDAMENTALS 
LAW5ITG,INFORMATION TECHNOLOGY LAW 
CSE5ITP,INFORMATION TECHNOLOGY PROJECT 
CSE5ITA,INFORMATION TECHNOLOGY PROJECT A 
CSE5ITB,INFORMATION TECHNOLOGY PROJECT B 
CIV4ID,INFRASTRUCTURE DESIGN 
BOT2ILP,INNER LIFE OF PLANTS 
EDU6ICA,INNOVATION AND CONVENTION IN EDUCATION A 
EDU6ICB,INNOVATION AND CONVENTION IN EDUCATION B 
HUS3ICI,INNOVATION AND CREATIVE INTELLIGENCE 
BUO5SM,INNOVATIVE STRATEGIES FOR CHANGE 
BUA5SM,INNOVATIVE STRATEGIES FOR CHANGE 
LAW5IIC,INQUESTS INQUIRIES AND COMMISSIONS 
CSE1IIT,INSIDE INFORMATION TECHNOLOGY 
SHE5IMH,INSIDE THE MIND OF A HACKER 
LAW5CIL,INSOLVENCY LAW 
AHCLPW403,INSPECT AND MONITOR CULTURAL PLACES 
ELE5FIE,INSTRUMENTATION ELECTRONICS AND SENSORS 
FIN2IRP,INSURANCE AND RISK PLANNING 
EMS4IBD,INTEGRATED BUILDING DESIGN 
PAR3ICR,INTEGRATED CARDIAC AND RESPIRATORY 
ELE5ICD,INTEGRATED CIRCUIT DESIGN 
EDU3ICS,INTEGRATED CURRICULUM (STEAM) 
PHE5INH,INTEGRATED HEALTH PROMOTION 
PAR3IMM,INTEGRATED MEDICAL MANAGEMENT 
ORH3IOH,INTEGRATED ORAL HEALTH 
AGR3IPM,INTEGRATED PRODUCTION MANAGEMENT 
EDU3ISL,INTEGRATED SCIENCE LEARNING 
HLT2IEP,INTEGRATING EVIDENCE INTO PRACTICE 
HEA201,INTEGRATING EVIDENCE INTO PRACTICE 
PHA4CM,INTEGRATIVE MEDICINE 
LAW2IPL,INTELLECTUAL PROPERTY LAW 
EDU4IT,INTERACTIVE TECHNOLOGIES 
LIN3CCC,INTERCULTURAL COMMUNICATION 
DRA3IPF,INTERCULTURAL PERFORMANCE 
EDU4IDC,INTERDISCIPLINARY CURRICULUM: WHAT IS IT AND WHY DO IT ? 
GSD4COR,INTERDISCIPLINARY DEBATES 
ORH3IDC,INTERDISCIPLINARY ORAL HEALTH CARE 
CSE5INE,INTERMEDIATE NETWORK ENGINEERING 
CSE3INE,INTERMEDIATE NETWORK ENGINEERING 
CSE1IOO,INTERMEDIATE OBJECT-ORIENTED PROGRAMMING 
CSE1IOX,INTERMEDIATE OBJECT-ORIENTED PROGRAMMING 
CSE4IOO,INTERMEDIATE OBJECT-ORIENTED PROGRAMMING (PG) 
ORT5CLC,INTERMEDIATE ORTHOPTIC CLINICAL PRACTICE 
ACC3IAC,INTERNATIONAL ACCOUNTING 
ACC3IAS,INTERNATIONAL ACCOUNTING STUDY PROGRAM 
NSG3CEL,INTERNATIONAL AND CLINICAL ELECTIVE FOR NURSING AND MIDWIFERY 
LAW3IAM,INTERNATIONAL ARBITRATION MOOT 
LAW3IAP,INTERNATIONAL ARBITRATION PRACTICE 
IBU5IBE,INTERNATIONAL BUSINESS 
LAW2IBL,INTERNATIONAL BUSINESS LAW 
BUA5IBLV,INTERNATIONAL BUSINESS LAW 
MGT3BPA,INTERNATIONAL BUSINESS PROJECT A 
LAW5IBT,INTERNATIONAL BUSINESS TRANSACTIONS 
LAW5ICA,INTERNATIONAL COMMERCIAL ARBITRATION 
LAW5CM,INTERNATIONAL COMMERCIAL MEDIATION 
LAW3ICM,INTERNATIONAL COMMERCIAL MEDIATION 
LST3ICT,INTERNATIONAL COMMERCIAL TRANSACTIONS 
LCR3ICR,INTERNATIONAL CRIMINAL JUSTICE 
LAW5ICL,INTERNATIONAL CRIMINAL LAW 
LAW5CYC,INTERNATIONAL CYBERCRIME 
DST5INT,INTERNATIONAL DEVELOPMENT INTERNSHIP 
DST5IDR,INTERNATIONAL DEVELOPMENT RESEARCH REPORT 
POL5ISD,INTERNATIONAL DEVELOPMENT: POLITICS AND GOVERNANCE 
LAW3IDS,INTERNATIONAL DISPUTE SETTLEMENT 
EDU5IEP,INTERNATIONAL EDUCATION POLICY AND MANAGEMENT 
MGT5IER,INTERNATIONAL EMPLOYMENT RELATIONS 
LAW5ENV,INTERNATIONAL ENVIRONMENTAL LAW 
FIN3IFM,INTERNATIONAL FINANCIAL MANAGEMENT 
FIN5IFM,INTERNATIONAL FINANCIAL MANAGEMENT 
PHE5IPO,INTERNATIONAL HEALTH POLICY 
MGT3IHR,INTERNATIONAL HUMAN RESOURCE MANAGEMENT 
HUS3IIN,INTERNATIONAL INTERNSHIP 
HUM5ISA,INTERNATIONAL INTERNSHIPS AND STUDY ABROAD 
POL2IOL,INTERNATIONAL LAW AND ORGANISATIONS 
BUO5IM,INTERNATIONAL MANAGEMENT 
BUA5IM,INTERNATIONAL MANAGEMENT 
MKT3IMK,INTERNATIONAL MARKETING 
MKT3IMX,INTERNATIONAL MARKETING 
MKT5IMM,INTERNATIONAL MARKETING MANAGEMENT 
MKT3MST,INTERNATIONAL MARKETING STUDY TOUR 
ECO3IME,INTERNATIONAL MONETARY ECONOMICS 
PHE5IHE,INTERNATIONAL PERSPECTIVES ON HEALTH ECONOMICS 
PLA4IPS,INTERNATIONAL PLANNING STUDIO 
PLA4IPT,INTERNATIONAL PLANNING STUDIO 
PLA3IPS,INTERNATIONAL PLANNING STUDIO 
POL3IPC,INTERNATIONAL POLITICS OF CLIMATE CHANGE 
PLA5SPI,INTERNATIONAL PROJECT 
MGT5IPM,INTERNATIONAL PROJECT MANAGEMENT 
POL1EEH,INTERNATIONAL RELATIONS AND THE GLOBAL ECONOMY 
POL5GGA,INTERNATIONAL RELATIONS AND THE GLOBAL ECONOMY 
POL5RIC,INTERNATIONAL RELATIONS: PAST AND PRESENT 
POL5IJC,INTERNATIONAL SECURITY IN THE ASIA PACIFIC 
SHE3ISP,INTERNATIONAL SHORT-TERM PROGRAM 1 
HUS2ISB,INTERNATIONAL STUDY TOUR 
HUS2IST,INTERNATIONAL STUDY TOUR B 
HUS3ISB,INTERNATIONAL STUDY TOUR C 
HUS3STT,INTERNATIONAL STUDY TOUR D 
HUS3ISE,INTERNATIONAL SUSTAINABILITY EXPERIENCE 
HUS2ISE,INTERNATIONAL SUSTAINABILITY EXPERIENCE 
BUS3ISE,INTERNATIONAL SUSTAINABILITY EXPERIENCE 
BUS2ISE,INTERNATIONAL SUSTAINABILITY EXPERIENCE 
THS3INT,INTERNATIONAL TOURISM AND HOSPITALITY 
ECO2ITR,INTERNATIONAL TRADE 
ECO3ITR,INTERNATIONAL TRADE 
LAW5ITL,INTERNATIONAL TRADE LAW 
AGR3IWS,INTERNATIONAL WINE STYLES 
CSE2ICX,INTERNET CLIENT ENGINEERING 
CSE2ICE,INTERNET CLIENT ENGINEERING 
CSE5ICE,INTERNET CLIENT ENGINEERING 
CSE3OTX,INTERNET OF THINGS 
CSE3INW,INTERNETWORKING 
SITTGDE001,INTERPRET ASPECTS OF LOCAL AUSTRALIAN INDIGENOUS CULTURE 
PLA1ISP,INTRODUCING PLAN MAKING 
EDU1ATS,INTRODUCTION TO ABORIGINAL AND TORRES STRAIT ISLANDER AUSTRALIA 
ABS1IAA,INTRODUCTION TO ABORIGINAL AUSTRALIA 
BUS5IAF,INTRODUCTION TO ACCOUNTING AND FINANCE 
HIM5IAA,INTRODUCTION TO ACTIVITY BASED FUNDING AND AUDITING 
VET2IAN,INTRODUCTION TO ADVANCED VETERINARY NURSING 
HBS102,INTRODUCTION TO ANATOMY 
AGR1AAS,INTRODUCTION TO ANIMAL AND AGRICULTURAL SCIENCES 
ARC2SCI,"INTRODUCTION TO ARCHAEOLOGICAL SCIENCE: HOW CHEMISTRY, PHYSICS, AND BIOLOGY INFORM THE PAST "
AST2ICI,INTRODUCTION TO ASIA: CHINA AND INDIA 
AST1IIC,INTRODUCTION TO ASIA: INDIA AND CHINA 
AST2IJI,INTRODUCTION TO ASIA: JAPAN AND INDONESIA 
AST1IJI,INTRODUCTION TO ASIA: JAPAN AND INDONESIA 
SWP1ANV,INTRODUCTION TO ASSESSMENT OF COMPLEX NEEDS 
EDU4IVS,INTRODUCTION TO AUSTRALIA'S VET SYSTEM 
PSY1BNA,INTRODUCTION TO BEHAVIOURAL NEUROSCIENCE 1A 
PSY1BNB,INTRODUCTION TO BEHAVIOURAL NEUROSCIENCE 1B 
BCH2IBM,INTRODUCTION TO BIOCHEMISTRY AND MOLECULAR BIOLOGY 
BCM201,INTRODUCTION TO BIOCHEMISTRY AND MOLECULAR BIOLOGY 
PHE1IBH,INTRODUCTION TO BIOETHICS AND HEALTH CARE 
MED2BMS,INTRODUCTION TO BIOMEDICAL SCIENCE 
LST2BSL,INTRODUCTION TO BUSINESS LAW AND ETHICS 
LST2BSX,INTRODUCTION TO BUSINESS LAW AND ETHICS 
LAW2ICL,INTRODUCTION TO CHINESE LAW 
PHA4ISU,INTRODUCTION TO CLINICAL MANAGEMENT OF SUBSTANCE ABUSE 
DEN3ICP,INTRODUCTION TO CLINICAL PRACTICE 
CSE3CFN,INTRODUCTION TO COMPUTER FORENSICS 
EDU1ITC,INTRODUCTION TO CURRICULUM 
LAW5CFL,INTRODUCTION TO CYBERFORENSICS AND THE LAW 
CSE1ICB,INTRODUCTION TO CYBERSECURITY 
CSP4ICB,INTRODUCTION TO CYBERSECURITY AND CYBERSECURITY PRACTICE 
STA1IDA,INTRODUCTION TO DATA ANALYSIS 
HIM2IDA,INTRODUCTION TO DATA ANALYTICS IN HEALTHCARE 
PHE3DDG,"INTRODUCTION TO DEATH, DYING AND GRIEF "
DEN2IDP,INTRODUCTION TO DENTAL PRACTICE 
AUD4IDA,INTRODUCTION TO DIAGNOSTIC AUDIOLOGY 
LAW3DIP,INTRODUCTION TO DIGITAL IDENTITY AND PRIVACY 
SWP3IDV,INTRODUCTION TO DIVERSITY 
EDU1IEC,INTRODUCTION TO EARLY CHILDHOOD EDUCATION 
ELE1IEL,INTRODUCTION TO ELECTRICAL AND ELECTRONIC ENGINEERING 
THS1FEM,INTRODUCTION TO EVENT MANAGEMENT 
FIN2IFP,INTRODUCTION TO FINANCIAL PLANNING 
LCR2PSY,INTRODUCTION TO FORENSIC PSYCHOLOGY AND THE LAW 
LCR2FSL,INTRODUCTION TO FORENSIC SCIENCE AND THE LAW 
PHE3IGB,INTRODUCTION TO GERONTOLOGY B 
EDU5IHP,INTRODUCTION TO HEALTH AND PHYSICAL EDUCATION 
PHE3IHI,INTRODUCTION TO HEALTH INFORMATION SYSTEMS 
HCS2IHB,"INTRODUCTION TO HEARING AND BALANCE: EMBRYOLOGY, GENETICS AND EPIDEMIOLOGY "
HCS2IAA,INTRODUCTION TO HEARING SCIENCE 
HBS101,INTRODUCTION TO HUMAN PHYSIOLOGY 
MGT1IB,INTRODUCTION TO INTERNATIONAL BUSINESS 
AGR2ILS,INTRODUCTION TO LAND AND SOIL MANAGEMENT 
EDU4ILT,INTRODUCTION TO LANGUAGE TEACHING 
EDU1ILT,INTRODUCTION TO LEARNING THEORIES 
SWP1LEV,INTRODUCTION TO LEGAL & ETHICAL ISSUES IN COMMUNITY SERVICES 
BIO2IMB,INTRODUCTION TO MICROBIOLOGY 
DRA2MIT,"INTRODUCTION TO MUSIC THEATRE: MUSICALS, MUSIC IN THEATRE "
NAN1NAN,INTRODUCTION TO NANOSCIENCE 
NSG1ITN,INTRODUCTION TO NURSING 
NSG1INA,INTRODUCTION TO NURSING ASSESSMENT 
DTN101,INTRODUCTION TO NUTRITION 
DTN1NHW,INTRODUCTION TO NUTRITION 
ORH1IOS,INTRODUCTION TO ORAL SCIENCES 
PAR3IPP,INTRODUCTION TO PARAMEDIC PRACTICE 
PHA1IPP,INTRODUCTION TO PHARMACY PRACTICE 
VPA1PJ1,INTRODUCTION TO PHOTOJOURNALISM 
POD2PPA,INTRODUCTION TO PODIATRY PRACTICE A 
POD3PPB,INTRODUCTION TO PODIATRY PRACTICE B 
PHE4IPH,INTRODUCTION TO PRIMARY HEALTH CARE 
HLT1IPP,INTRODUCTION TO PROFESSIONAL PRACTICE 
SWP2IPP,INTRODUCTION TO PROFESSIONAL PRACTICE 
CSE4IP,INTRODUCTION TO PROGRAMMING 
HCS3IHB,INTRODUCTION TO PUBLIC HEALTH AND AUDIOLOGY 
ECO2IQA,INTRODUCTION TO QUANTITATIVE ANALYSIS 
ECO1IQN,INTRODUCTION TO QUANTITATIVE ANALYSIS 
HCS4ISP,INTRODUCTION TO SPEECH PATHOLOGY PRACTICE 
JRN3ISC,INTRODUCTION TO SPORTS COMMENTARY 
STC1ISC,INTRODUCTION TO STRATEGIC COMMUNICATION 
LCR1ALS,INTRODUCTION TO THE AUSTRALIAN LEGAL SYSTEM 
ECM3ITE,INTRODUCTION TO TIME SERIES ECONOMETRICS 
THS1THE,"INTRODUCTION TO TOURISM, HOSPITALITY AND EVENTS "
VET1IVN,INTRODUCTION TO VETERINARY NURSING PRACTICE 
OED1BFE,INTRODUCTION TO WINTER ENVIRONMENTS 
MAT1ICA,INTRODUCTORY CALCULUS 
MIC2MI,INTRODUCTORY MICROBIOLOGY 
NSG1NAV,INTRODUCTORY NURSING ASSESSMENT 
ORT5CLB,INTRODUCTORY ORTHOPTIC CLINICAL PRACTICE 
NSG1PPV,INTRODUCTORY PROFESSIONAL PRACTICES 
VU22265,INVESTIGATE CULTURAL HERITAGE LANDSCAPES AND ENVIRONMENTS 
VU21030,INVESTIGATE CULTURAL HERITAGE LANDSCAPES AND ENVIRONMENTS 
BUS1BUX,INVESTIGATING ECONOMIC ISSUES 
FIN2SEV,INVESTMENT SECURITIES 
CSE5IPR,IOT PROGRAMMING 
CSE5PRP,IOT PROTOCOLS AND PLATFORMS 
CSE5IOT,IOT TECHNOLOGY AND APPLICATIONS 
LAW5ILS,"ISLAM, LAW AND THE STATE IN SOUTHEAST ASIA "
LST5CLI,ISLAMIC COMMERCIAL LAW 
WCB2IC,ISSUES IN CONSERVATION 
ARC4ICA,ISSUES IN CONTEMPORARY ARCHAEOLOGY 
EDU5ISA,ISSUES IN EDUCATION A (P12) 
EDU4IMA,ISSUES IN EDUCATION A - TEACHING AND LEARNING 
EDU5ISB,ISSUES IN EDUCATION B (P12) 
EDU4IMB,ISSUES IN EDUCATION B - TEACHING IN THE MIDDLE YEARS 
LAW3FCL,"ISSUES IN FEDERAL CRIMINAL LAW : FRAUD, SMUGGLING AND TERRORISM "
LAW5IPI,ISSUES IN PUBLIC INTEREST LAW 
SOC4COR,"ISSUES IN SOCIAL THEORY AND RESEARCH: MARGINALITY, NEOLIBERALISM AND THE STATE "
ANT4COR,"ISSUES IN SOCIAL THEORY AND RESEARCH: MARGINALITY, NEOLIBERALISM AND THE STATE "
GST3ITG,ISSUES IN TEACHING GREEK 
POL3IPP,ISSUES IN WORLD POLITICS 
STC5MSI,ISSUES MANAGEMENT IN STRATEGIC COMMUNICATION 
MSS4IAM,"ISSUES, METHODS AND CREATIVE PRACTICES RESEARCH "
CSE3IIS,IT AND INFORMATION SECURITY 
ITA1001,ITALIAN 1 
ITA1002,ITALIAN 2 
ITA2003,ITALIAN 3 
ITA2004,ITALIAN 4 
ITA4HNJ,ITALIAN 4 
